,name,equation_type,sector,definition,description,standard_equation_eviews_equation,standard_equation_python_equation,standard_equation_rhs_eq_var,exogenous_projection,standard_equation_coeff_cf_name,standard_equation_coeff_cf_value,kfcalc,stochastic_type,standard_equation_coeff_t_stat,standard_equation_estimation_statistics_adjusted_r_squared,standard_equation_estimation_statistics_date,standard_equation_estimation_statistics_durbin_watson,standard_equation_estimation_statistics_method,standard_equation_estimation_statistics_r_squared,standard_equation_estimation_statistics_sample_end,standard_equation_estimation_statistics_sample_start,standard_equation_estimation_statistics_se_of_regression,standard_equation_estimation_statistics_F_statistic,standard_equation_estimation_statistics_prob_F_statistic,standard_equation_estimation_statistics_estimation_date,standard_equation_coeff_distributed_lag_group,standard_equation_estimation_statistics,mce_equation_mce_group,mce_equation_mce_description,mce_equation_eviews_equation,mce_equation_python_equation,mce_equation_coeff_cf_name,mce_equation_coeff_cf_value,mce_equation_rhs_eq_var
32,ecd,Behavioral,Household Expenditures,"Consumer expenditures on durable goods, cw 2012$","Household investment in consumer durables is modeled using the
polynomial adjustment cost (PAC) framework, whose general structure is
shown below in the PAC Overview section.  To translate the general PAC
specification into the form in which it appears in the ECD equation,
associate log(ECD) with y, log(QECD) with y<sup>1*</sup>, ZECO with
the expected weighted sum of future &Delta;y<sup>1*</sup>, and
8.02*ZGAPC2/400 with the expected weighed sum of future
y<sup>0*</sup>.  The order of adjustment costs (m) is 2.

PAC Overview: Let y denote the decision variable, and y<sup>1*</sup>
and y<sup>0*</sup> be the nonstationary and stationary components of its
desired level in the absence of adjustment frictions.  The decision
rule derived from the PAC Euler equation has the following form.

(1) &Delta;y<sub>t</sub> =
      a<sub>0</sub>(y<sup>1*</sup><sub>t-1</sub> - y<sub>t-1</sub>) +
      &sum;<sub>i=1,m-1</sub> a<sub>i</sub>&Delta;y<sub>t-i</sub> +
      E<sub>t-1</sub>&sum;<sub>i=0,&infin;</sub>d<sub>i</sub>&Delta;y<sup>1*</sup><sub>t+i</sub> +
      E<sub>t-1</sub>&sum;<sub>i=0,&infin;</sub>h<sub>i</sub>y<sup>0*</sup><sub>t+i</sub>

 The order of adjustment costs is given by parameter m.  The
forward weights, d<sub>i</sub> and h<sub>i</sub>, {i=0,&infin;}, are
functions of the estimated values of a<sub>i</sub> {i=0,m-1} and a
fixed discount factor (0.98).  Estimation imposes the growth
neutrality restriction &sum;<sub>i=1,m-1</sub>a<sub>i</sub> +
&sum;<sub>i=0,&infin;</sub>d<sub>i</sub> = 1.  For more information,
see <a href=""pac_basics.pdf"">Pac Basics</a>.

","dlog(ecd)  - ecd_aerr =
            y_ecd(1) * log(qecd(-1)/ecd(-1))
          + y_ecd(2) * dlog(ecd(-1))
          + y_ecd(3) * zecd
          + y_ecd(4) * zgapc2 / 400","(log(ecd) - log(ecd(-1)))  - ecd_aerr =
            y_ecd_1 * log(qecd(-1)/ecd(-1))
          + y_ecd_2 * (log(ecd(-1)) - log(ecd(-2)))
          + y_ecd_3 * zecd
          + y_ecd_4 * zgapc2 / 400","['ecd', 'qecd', 'zecd', 'zgapc2']",,"['y_ecd(1)', 'y_ecd(2)', 'y_ecd(3)', 'y_ecd(4)']","['0.1561499403562654', '-0.05999277989382532', '1', '11.87185840275941']",1,IS,"['3.822149702375726', '-0.8810639821989592', '3.108553110276274']",0.1428955644369125,08/30/18   Time: 10:02 ,2.026607751846313,Least Squares,0.1517316997051239,2017Q4,1969Q2,0.02697205170989037,,,,,,,,,,,,
33,ech,Behavioral,Household Expenditures,"Consumer expenditures on housing services, cw 2012$","
","d(ech/kh(-1))  - ech_aerr =
           y_ech(1)
          + y_ech(2)*ech(-1)/kh(-2)
          + y_ech(3)*d(ech(-1)/kh(-2))","(ech/kh(-1) - (ech(-1)/kh(-2)))  - ech_aerr =
           y_ech_1
          + y_ech_2*ech(-1)/kh(-2)
          + y_ech_3*(ech(-1)/kh(-2) - (ech(-2)/kh(-3)))","['ech', 'kh']",,"['y_ech(1)', 'y_ech(2)', 'y_ech(3)']","['0.0005280507960180215', '-0.005044873655834186', '0.7183359768373699']",,IS,"['1.98089239418462', '-1.871635939368791', '14.421159738464']",0.5303411157758981,08/30/18   Time: 10:03 ,1.714500863198455,Least Squares,0.5352848935045729,2017Q4,1970Q2,0.0001922129610830469,108.2744659817186,5.194673906820202e-32,,,,,,,,,,
34,ecnia,Behavioral,Household Expenditures,"Personal consumption expenditures, cw 2012$ (NIPA definition)","

NIPA total consumer spending is approximated by a fixed-weighted aggregation of its components.

","log(ecnia)  - ecnia_aerr = log(ecnia(-1))
          + y_ecnia(1)*log(eco/eco(-1))
          + y_ecnia(2)*log(ecd/ecd(-1))
          + y_ecnia(3)*log(ech/ech(-1))","log(ecnia)  - ecnia_aerr = log(ecnia(-1))
          + y_ecnia_1*log(eco/eco(-1))
          + y_ecnia_2*log(ecd/ecd(-1))
          + y_ecnia_3*log(ech/ech(-1))","['ecd', 'ech', 'ecnia', 'eco']",,"['y_ecnia(1)', 'y_ecnia(2)', 'y_ecnia(3)']","['0.735', '0.1055', '0.1595']",,,,0.9999984153897256,08/30/18   Time: 09:58 ,1.63471562254246,Least Squares (Gauss-Newton / Marquardt steps),0.9999992076948629,2017Q4,2016Q4,1.320212168321809e-05,,,,,,,,,,,,
35,ecnian,Identity,Household Expenditures,"Personal consumption expenditures, current $ (NIPA definition)",,ecnian - ecnian_aerr = .01*pcnia*ecnia ,ecnian - ecnian_aerr = .01*pcnia*ecnia ,"['ecnia', 'pcnia']",,,,,,,,,,,,,,,,,,,,,,,,,,
36,eco,Behavioral,Household Expenditures,"Consumer expenditures on non-durable goods and non-housing services, cw 2012$","Consumer spending on nondurables goods and non-housing services is
a weighted average of the spending of optimizing households and
rule-of-thumb (ROT) households.  The consumption decisions of the
former are modeled using the polynomial adjustment cost (PAC)
framework.  ROT consumption moves in proportion with the sum of labor
and transfer income (YHL+YHT).  The estimated fraction of ROT
consumption is 0.18.  The structure of the PAC component of the
equation is based on equation (1) shown below in the PAC Overview
section.  To translate the general PAC specification into the form in
which it appears in the ECO equation, associate log(ECO) with y,
log(QECO) with y*, and ZECO with the expected weighted sum of future
&Delta;y*.  The order of adjustment costs (m) is 2.

PAC Overview: Let y denote the decision variable and y* its desired
level in the absence of adjustment frictions.  The decision rule
derived from the PAC Euler equation has the following form.

(1) &Delta;y<sub>t</sub><sup>pac</sup> = a<sub>0</sub>(y*<sub>t-1</sub> -
      y<sub>t-1</sub>) + &sum;<sub>i=1,m-1</sub>
      a<sub>i</sub>&Delta;y<sub>t-i</sub> +
      E<sub>t-1</sub>&sum;<sub>i=0,&infin;</sub>d<sub>i</sub>&Delta;y*<sub>t+i</sub>

 The order of adjustment costs is given by parameter m.  The
forward weights, d<sub>i</sub> {i=0,&infin;}, are functions of the
estimated values of a<sub>i</sub> {i=0,m-1} and a fixed discount
factor (0.98).  Estimation imposes the growth neutrality restriction
&sum;<sub>i=1,m-1</sub>a<sub>i</sub> +
&sum;<sub>i=0,&infin;</sub>d<sub>i</sub> = 1.  For more information,
see <a href=""pac_basics.pdf"">PAC Basics</a>.

","dlog(eco)  - eco_aerr =
          ( y_eco(1) * log(qeco(-1)/eco(-1))
          + y_eco(2) * dlog(eco(-1))
          + y_eco(3) * zeco) * (1
          -y_eco(4))
          + y_eco(4) * dlog(yhl+yht)","(log(eco) - log(eco(-1)))  - eco_aerr =
          ( y_eco_1 * log(qeco(-1)/eco(-1))
          + y_eco_2 * (log(eco(-1)) - log(eco(-2)))
          + y_eco_3 * zeco) * (1
          -y_eco_4)
          + y_eco_4 * (log(yhl+yht) - log(yhl(-1)+yht(-1)))","['eco', 'qeco', 'yhl', 'yht', 'zeco']",,"['y_eco(1)', 'y_eco(2)', 'y_eco(3)', 'y_eco(4)']","['0.1584215605793791', '0.4118129978512995', '1', '0.3075237404993435']",1,IS,"['4.069430324069695', '4.334631712151889', '2.861084995194625']",0.3596963882446289,08/30/18   Time: 10:02 ,2.00827169418335,Iterative Least Squares,0.3661969304084778,2017Q4,1968Q3,0.004007072653621435,,,,,,,,,,,,
37,egfe,Behavioral,Government,"Federal Government expenditures, CW 2012$",,"d( log(egfe), 0, 1 )  - egfe_aerr =
           y_egfe(1)
          + y_egfe(2) * log(egfe(-1)/egfet(-1))
          + y_egfe(3) *  d( log(egfe(-1)), 0, 1 )
          + y_egfe(4) *  d( log(egfe(-2)), 0, 1 )
          + y_egfe(5) * d( log(egfet), 0, 1 )
          + y_egfe(6) *  xgap2
          + y_egfe(7) *  xgap2(-1)","( log(egfe) - ( log(egfe(-1))))  - egfe_aerr =
           y_egfe_1
          + y_egfe_2 * log(egfe(-1)/egfet(-1))
          + y_egfe_3 *  ( log(egfe(-1)) - ( log(egfe(-2))))
          + y_egfe_4 *  ( log(egfe(-2)) - ( log(egfe(-3))))
          + y_egfe_5 * ( log(egfet) - ( log(egfet(-1))))
          + y_egfe_6 *  xgap2
          + y_egfe_7 *  xgap2(-1)","['egfe', 'egfet', 'xgap2']",,"['y_egfe(1)', 'y_egfe(2)', 'y_egfe(3)', 'y_egfe(4)', 'y_egfe(5)', 'y_egfe(6)', 'y_egfe(7)']","['-0.0008045327442607825', '-0.1204156945139518', '-0.153308131863314', '-0.1035937599294917', '1.50381543495264', '-0.0009835524480447814', '0.0007256812123007961']",,GV,"['-0.4943819857950891', '-3.000598283182305', '-2.126972083749647', '-1.486591329749078', '6.261724581077439', '-0.4481415573034953', '0.3302663605113349']",0.2235028258221269,08/30/18   Time: 10:01 ,1.991593778588748,Least Squares (Gauss-Newton / Marquardt steps),0.2455833141873744,2017Q4,1965Q1,0.02004202666080826,11.12218670733286,9.870517608437912e-11,,,,,,,,,,
38,egfen,Identity,Government,"Federal Government expenditures, current $",,"egfen - egfen_aerr = pegfr*pxp*egfe*.01
	 ","egfen - egfen_aerr = pegfr*pxp*egfe*.01
	 ","['egfe', 'pegfr', 'pxp']",,,,,NO,,,,,,,,,,,,,,,,,,,,,
39,egfet,Behavioral,Government,"Federal Government expenditures, CW 2012$, Trend",,"d( log(egfet), 0, 1 ) - egfet_aerr  = y_egfet(1)
                    + y_egfet(2) * log(.01*pegfr(-1)*pxp(-1)*egfet(-1)/xgdptn(-1))
                    + y_egfet(3) * (hggdpt+hggdpt(-1)+hggdpt(-2)+hggdpt(-3)) / 1600
	 ","( log(egfet) - ( log(egfet(-1)))) - egfet_aerr  = y_egfet_1
                    + y_egfet_2 * log(.01*pegfr(-1)*pxp(-1)*egfet(-1)/xgdptn(-1))
                    + y_egfet_3 * (hggdpt+hggdpt(-1)+hggdpt(-2)+hggdpt(-3)) / 1600
	 ","['egfet', 'hggdpt', 'pegfr', 'pxp', 'xgdptn']",,"['y_egfet(1)', 'y_egfet(2)', 'y_egfet(3)']","['-0.3101', '-0.1', '1']",,NO,"['0', '0', '0']",,,,,,,,,,,,,,,,,,,,
40,egfl,Behavioral,Government,"Federal government employee compensation, cw 2012$",,"d( log(egfl), 0, 1 )   - egfl_aerr =
           y_egfl(1)
          + y_egfl(2) * log(egfl(-1)/egflt(-1))
          + y_egfl(3) *  d( log(egfl(-1)), 0, 1 )
          + y_egfl(4) *  d( log(egfl(-2)), 0, 1 )
          + y_egfl(5) * d( log(egflt), 0, 1 )
          + y_egfl(6) *  xgap2
          + y_egfl(7) *  xgap2(-1)","( log(egfl) - ( log(egfl(-1))))   - egfl_aerr =
           y_egfl_1
          + y_egfl_2 * log(egfl(-1)/egflt(-1))
          + y_egfl_3 *  ( log(egfl(-1)) - ( log(egfl(-2))))
          + y_egfl_4 *  ( log(egfl(-2)) - ( log(egfl(-3))))
          + y_egfl_5 * ( log(egflt) - ( log(egflt(-1))))
          + y_egfl_6 *  xgap2
          + y_egfl_7 *  xgap2(-1)","['egfl', 'egflt', 'xgap2']",,"['y_egfl(1)', 'y_egfl(2)', 'y_egfl(3)', 'y_egfl(4)', 'y_egfl(5)', 'y_egfl(6)', 'y_egfl(7)']","['0.0002417378554669395', '-0.0795584254267964', '0.2415347480637823', '-0.06133379374138964', '1.206872311101357', '-0.002507254010777311', '0.002350674896424264']",1,GV,"['0.409467413904429', '-3.315961228955266', '3.578173376936391', '-0.8876135076407102', '6.146547668815872', '-2.654081880679804', '2.482710744609933']",0.3608786009956402,11/20/17   Time: 17:06 ,2.002279366858446,Least Squares (Gauss-Newton / Marquardt steps),0.3794038589377955,2016Q4,1965Q1,0.008461686294687648,20.48035499006137,1.163236924672889e-18,,,,,,,,,,
41,egfln,Identity,Government,"Federal government employee compensation, current $",,egfln - egfln_aerr = .01 * pgfl * egfl ,egfln - egfln_aerr = .01 * pgfl * egfl ,"['egfl', 'pgfl']",,,,,,,,,,,,,,,,,,,,,,,,,,
42,egflt,Behavioral,Government,"Federal government employee compensation, cw 2012$, trend",,"d( log(egflt), 0, 1 ) - egflt_aerr
                    = y_egflt(1)
                    + y_egflt(2) * log(.01*pgfl(-1)*egflt(-1)/xgdptn(-1))
                    + y_egflt(3) * (hggdpt+hggdpt(-1)+hggdpt(-2)+hggdpt(-3)) / 1600
","( log(egflt) - ( log(egflt(-1)))) - egflt_aerr
                    = y_egflt_1
                    + y_egflt_2 * log(.01*pgfl(-1)*egflt(-1)/xgdptn(-1))
                    + y_egflt_3 * (hggdpt+hggdpt(-1)+hggdpt(-2)+hggdpt(-3)) / 1600
","['egflt', 'hggdpt', 'pgfl', 'xgdptn']",,"['y_egflt(1)', 'y_egflt(2)', 'y_egflt(3)']","['-.375978', '-.1', '1.0']",,,,,,,,,,,,,,,,,,,,,,,
43,egse,Behavioral,Government,"S&L Government expenditures, CW 2012$",,"d( log(egse), 0, 1 )   - egse_aerr =
           y_egse(1)
          + y_egse(2) * log(egse(-1)/egset(-1))
          + y_egse(3) *  d( log(egse(-1)), 0, 1 )
          + y_egse(4) *  d( log(egse(-2)), 0, 1 )
          + y_egse(5) * d( log(egset), 0, 1 )
          + y_egse(6) *  xgap2
          + y_egse(7) *  xgap2(-1)","( log(egse) - ( log(egse(-1))))   - egse_aerr =
           y_egse_1
          + y_egse_2 * log(egse(-1)/egset(-1))
          + y_egse_3 *  ( log(egse(-1)) - ( log(egse(-2))))
          + y_egse_4 *  ( log(egse(-2)) - ( log(egse(-3))))
          + y_egse_5 * ( log(egset) - ( log(egset(-1))))
          + y_egse_6 *  xgap2
          + y_egse_7 *  xgap2(-1)","['egse', 'egset', 'xgap2']",,"['y_egse(1)', 'y_egse(2)', 'y_egse(3)', 'y_egse(4)', 'y_egse(5)', 'y_egse(6)', 'y_egse(7)']","['-0.0003205558585065158', '-0.1310861864392932', '0.1315799717205844', '0.002629649907733779', '0.9287008343314474', '0.001580665878764003', '-0.0008537660921935765']",,GV,"['-0.1847579368823805', '-3.758279614354262', '1.91004234973597', '0.03764592773526881', '4.020615258371604', '0.9137023166458276', '-0.4929943706873416']",0.2091787748119398,08/30/18   Time: 10:01 ,1.9980010028473,Least Squares (Gauss-Newton / Marquardt steps),0.2316665821632591,2017Q4,1965Q1,0.01565192082089247,10.30187508030517,5.746545674068954e-10,,,,,,,,,,
44,egsen,Identity,Government,"S&L Government expenditures, current $",,"egsen - egsen_aerr = pegsr*pxp*egse*.01
	 ","egsen - egsen_aerr = pegsr*pxp*egse*.01
	 ","['egse', 'pegsr', 'pxp']",,,,,NO,,,,,,,,,,,,,,,,,,,,,
45,egset,Behavioral,Government,"S&L Government expenditures, CW 2012$, Trend",,"d( log(egset), 0, 1 ) - egset_aerr  = y_egset(1)
                    + y_egset(2) * log(.01*pegsr(-1)*pxp(-1)*egset(-1)/xgdptn(-1))
                    + y_egset(3) * (hggdpt+hggdpt(-1)+hggdpt(-2)+hggdpt(-3)) / 1600
	 ","( log(egset) - ( log(egset(-1)))) - egset_aerr  = y_egset_1
                    + y_egset_2 * log(.01*pegsr(-1)*pxp(-1)*egset(-1)/xgdptn(-1))
                    + y_egset_3 * (hggdpt+hggdpt(-1)+hggdpt(-2)+hggdpt(-3)) / 1600
	 ","['egset', 'hggdpt', 'pegsr', 'pxp', 'xgdptn']",,"['y_egset(1)', 'y_egset(2)', 'y_egset(3)']","['-0.32', '-0.1', '1']",,NO,"['0', '0', '0']",,,,,,,,,,,,,,,,,,,,
